time,pv(kwh),purchased energy(kwh),feed-in(kwh),load(kwh)
2025-02-21,31.0,5.3,20.6,15.7
2025-02-22,30.7,5.1,21.9,13.9
2025-02-23,32.2,7.3,18.7,20.8
2025-02-24,32.1,5.3,27.7,9.7
2025-02-25,30.6,7.0,17.7,19.9
2025-02-26,28.5,8.0,11.3,25.2
2025-02-27,27.7,5.5,20.0,13.2
2025-02-28,29.9,4.6,16.0,18.5
2025-03-01,30.8,4.0,19.5,15.3
2025-03-02,32.1,5.4,23.3,14.2
2025-03-03,14.9,7.2,5.9,16.2
2025-03-04,28.3,6.7,17.9,17.1
2025-03-05,18.1,6.7,7.4,17.4
2025-03-06,24.1,5.0,12.7,16.4
2025-03-07,18.3,6.5,8.1,16.7
2025-03-08,7.0,7.3,2.6,11.7
2025-03-09,3.5,12.2,0.1,15.6
2025-03-10,6.7,8.5,1.0,14.2
2025-03-11,21.7,3.6,14.5,10.8
2025-03-12,22.7,5.4,14.9,13.2
2025-03-13,26.6,5.4,14.3,17.7
2025-03-14,28.3,5.2,14.2,19.3
2025-03-15,25.2,8.1,10.9,22.4
2025-03-16,28.0,3.9,19.2,12.7
2025-03-17,32.6,3.4,25.0,11.0
2025-03-18,24.1,4.8,16.8,12.1
2025-03-19,21.9,4.8,10.1,16.6
2025-03-20,15.9,7.1,9.5,13.5
2025-03-21,26.3,3.9,16.1,14.1
2025-03-22,22.6,4.5,14.0,13.1
2025-03-23,16.8,8.1,6.9,18.0
2025-03-24,17.5,7.3,5.3,19.5
2025-03-25,10.6,5.7,5.0,11.3
2025-03-26,12.5,7.4,4.8,15.1
2025-03-27,9.1,5.7,4.5,10.3
2025-03-28,8.2,8.5,3.7,13.0
2025-03-29,8.8,6.4,4.6,10.6
2025-03-30,25.8,7.8,9.1,24.5
2025-03-31,27.7,5.4,19.2,13.9
2025-04-01,16.2,5.6,6.9,14.9
2025-04-02,3.8,5.1,0.7,8.2
2025-04-03,13.6,4.1,8.3,9.4
2025-04-04,17.1,8.9,5.1,20.9
2025-04-05,27.4,4.5,13.9,18.0
2025-04-06,20.8,3.9,11.9,12.8
2025-04-07,28.4,3.7,21.7,10.4
2025-04-08,24.8,3.4,19.1,9.1
2025-04-09,23.4,5.2,14.0,14.6
2025-04-10,25.3,3.6,17.4,11.5
2025-04-11,26.5,4.4,16.5,14.4
2025-04-12,14.1,4.7,7.4,11.4
2025-04-13,21.4,4.1,15.2,10.3
2025-04-14,21.2,3.2,15.1,9.3
2025-04-15,19.2,3.9,12.3,10.8
2025-04-16,24.1,3.6,12.6,15.1
2025-04-17,25.4,3.4,18.5,10.3
2025-04-18,25.7,3.0,15.8,12.9
2025-04-19,25.2,3.2,20.4,8.0
2025-04-20,24.5,4.2,19.1,9.6
2025-04-21,23.2,4.2,16.6,10.8
2025-04-22,25.4,3.8,16.8,12.4
2025-04-23,23.5,3.8,11.2,16.1
2025-04-24,10.3,4.6,5.8,9.1
2025-04-25,10.6,4.6,6.1,9.1
2025-04-26,21.2,6.1,11.0,16.3
2025-04-27,23.2,4.7,10.1,17.8
2025-04-28,24.0,4.3,16.5,11.8
2025-04-29,22.6,4.0,10.5,16.1
2025-04-30,20.2,4.5,11.9,12.8
2025-05-01,23.1,4.0,13.4,13.7
2025-05-02,19.7,4.6,7.1,17.2
2025-05-03,21.1,5.7,8.6,18.2
2025-05-04,20.0,5.2,12.2,13.0
2025-05-05,15.6,5.7,7.3,14.0
2025-05-06,19.7,3.7,12.1,11.3
2025-05-07,21.5,4.1,7.5,18.1
2025-05-08,21.7,4.2,13.4,12.5
2025-05-09,17.1,5.3,7.9,14.5
2025-05-10,13.8,5.3,5.8,13.3
2025-05-11,13.8,5.5,6.4,12.9
2025-05-12,16.6,7.6,6.6,17.6
2025-05-13,20.0,5.0,11.9,13.1
2025-05-14,12.3,7.0,3.9,15.4
2025-05-15,12.1,6.8,4.1,14.8
2025-05-16,12.8,5.5,4.5,13.8
2025-05-17,10.8,5.6,4.6,11.8
2025-05-18,18.9,6.2,4.1,21.0
2025-05-19,15.2,4.3,5.0,14.5
2025-05-20,16.8,4.3,6.2,14.9
2025-05-21,18.5,5.6,5.0,19.1
2025-05-22,19.3,5.4,9.0,15.7
2025-05-23,18.5,5.0,7.7,15.8
2025-05-24,16.2,4.4,5.6,15.0
2025-05-25,16.6,5.4,6.2,15.8
2025-05-26,14.6,4.4,5.1,13.9
2025-05-27,16.3,5.1,7.6,13.8
2025-05-28,18.1,2.0,11.3,8.8
2025-05-29,12.3,2.7,9.0,6.0
2025-05-30,5.8,3.6,3.5,5.9
2025-05-31,8.8,3.6,5.3,7.1
